Entry,RecordType,Data,SourceFolders
ajax.googleapis.com,1,74.125.68.95,rotation-2026-02-13
alive.github.com,1,140.82.112.25,rotation-2026-02-13
alive.github.com,1,140.82.113.26,rotation-2026-02-13; rotation-2026-02-25
alive.github.com,5,live.github.com,rotation-2026-02-13; rotation-2026-02-25
amaiq.lib.nthu.edu.tw,1,140.114.72.117,rotation-2026-02-25
amplify.outbrain.com,1,184.25.121.233,rotation-2026-02-25
amplify.outbrain.com,5,e10883.g.akamaiedge.net,rotation-2026-02-25
amplify.outbrain.com,5,wildcard.outbrain.com.edgekey.net,rotation-2026-02-25
analytics.google.com,,216.239.32.181,rotation-0
analytics.google.com,,216.239.34.181,rotation-0
analytics.google.com,,216.239.36.181,rotation-0
analytics.google.com,,216.239.38.181,rotation-0
analytics.google.com,,analytics-alv.google.com,rotation-0
analytics.google.com,1,142.250.196.206,rotation-2026-02-13
analytics.google.com,1,142.250.198.78,rotation-1
analytics.google.com,1,142.250.204.46,rotation-2026-02-25
analytics.google.com,1,216.239.32.181,rotation-1; rotation-2026-02-13; rotation-2026-02-25
analytics.google.com,1,216.239.34.181,rotation-1; rotation-2026-02-13; rotation-2026-02-25
analytics.google.com,1,216.239.36.181,rotation-1; rotation-2026-02-13; rotation-2026-02-25
analytics.google.com,1,216.239.38.181,rotation-1; rotation-2026-02-13; rotation-2026-02-25
analytics.google.com,1,74.125.130.100,rotation-2026-02-13
analytics.google.com,1,74.125.130.101,rotation-2026-02-13
analytics.google.com,1,74.125.130.102,rotation-2026-02-13
analytics.google.com,1,74.125.130.113,rotation-2026-02-13
analytics.google.com,1,74.125.130.138,rotation-2026-02-13
analytics.google.com,1,74.125.130.139,rotation-2026-02-13
analytics.google.com,5,analytics-alv.google.com,rotation-1; rotation-2026-02-13; rotation-2026-02-25
analytics.tiktok.com,1,61.220.62.159,rotation-2026-02-25
analytics.tiktok.com,1,61.220.62.185,rotation-2026-02-25
analytics.tiktok.com,1,61.220.62.194,rotation-2026-02-25
analytics.tiktok.com,1,61.220.62.196,rotation-2026-02-25
analytics.tiktok.com,1,61.220.62.202,rotation-2026-02-25
analytics.tiktok.com,1,61.220.62.212,rotation-2026-02-25
analytics.tiktok.com,1,61.220.62.221,rotation-2026-02-25
analytics.tiktok.com,5,analytics.tiktok.com.bytewlb.akadns.net,rotation-2026-02-25
analytics.tiktok.com,5,analytics.tiktok.com.edgekey.net,rotation-2026-02-25
analytics.tiktok.com,5,analytics.tiktok.com.ttdns2.com,rotation-2026-02-25
analytics.tiktok.com,5,e35058.api11.akamaiedge.net,rotation-2026-02-25
analytics.twitter.com,1,162.159.140.229,rotation-1; rotation-2026-02-25
analytics.twitter.com,5,s.twitter.com,rotation-1; rotation-2026-02-25
android.clients.google.com,1,142.250.196.206,rotation-2026-02-25
android.clients.google.com,1,142.250.198.78,rotation-2026-02-25
android.clients.google.com,1,142.250.204.46,rotation-2026-02-25
android.clients.google.com,1,142.250.66.78,rotation-2026-02-25
android.clients.google.com,1,142.250.77.14,rotation-2026-02-25
android.clients.google.com,5,android.l.google.com,rotation-2026-02-25
api.gamma.app,1,104.18.10.200,rotation-2026-03-08-claude
api.gamma.app,1,104.18.11.200,rotation-2026-03-08-claude
api.github.com,,20.27.177.116,rotation-0; rotation-1
api.github.com,1,20.205.243.168,rotation-2026-02-13
api.github.com,1,20.27.177.116,rotation-2026-02-25; rotation-2026-03-08-claude
api.ipify.org,1,104.26.12.205,rotation-2026-02-25
api.ipify.org,1,104.26.13.205,rotation-2026-02-25
api.ipify.org,1,172.67.74.152,rotation-2026-02-25
api.lab.amplitude.com,1,151.101.130.132,rotation-2026-02-25
api.lab.amplitude.com,1,151.101.194.132,rotation-2026-02-25
api.lab.amplitude.com,1,151.101.2.132,rotation-2026-02-25
api.lab.amplitude.com,1,151.101.66.132,rotation-2026-02-25
api.lab.amplitude.com,5,amplitude.map.fastly.net,rotation-2026-02-25
api.manus.im,1,100.25.35.57,rotation-2026-02-25
api.manus.im,1,13.216.84.105,rotation-2026-02-25
api.manus.im,1,3.213.220.205,rotation-2026-02-25
api.manus.im,1,34.239.86.143,rotation-2026-02-25
api.manus.im,1,35.171.93.62,rotation-2026-02-25
api.manus.im,1,50.17.209.26,rotation-2026-02-25
api.onedrive.com,1,150.171.22.11,rotation-2026-02-25
api.onedrive.com,5,common-afdrk.fe.1drv.com,rotation-2026-02-25
api.onedrive.com,5,ln-0001.ln-dc-msedge.net.ln-0001.ln-msedge.net,rotation-2026-02-25
api.onedrive.com,5,ln-0001.ln-msedge.net,rotation-2026-02-25
api.onedrive.com,5,odc-commonafdrk-brs.onedrive.akadns.net,rotation-2026-02-25
api.onedrive.com,5,odc-commonafdrk-geo.onedrive.akadns.net,rotation-2026-02-25
api.signin.104.com.tw,1,104.18.4.84,rotation-2026-02-25
api.signin.104.com.tw,1,104.18.5.84,rotation-2026-02-25
api.signin.104.com.tw,5,api.signin.104.com.tw.cdn.cloudflare.net,rotation-2026-02-25
api.skywork.ai,1,47.253.88.145,rotation-2026-02-25
api.skywork.ai,1,8.221.117.139,rotation-2026-02-25
api.skywork.ai,5,alb-a5jrt0faw4mx9lq0vz.us-east-1.alb.aliyuncsslbintl.com,rotation-2026-02-25
api.stripe.com,1,13.230.90.110,rotation-2026-02-25
api.stripe.com,1,52.196.53.105,rotation-2026-02-25
api.stripe.com,1,52.196.95.231,rotation-2026-02-25
api.twitter.com,1,162.159.140.229,rotation-2026-02-25
api.twitter.com,1,172.66.0.227,rotation-2026-02-25
api.twitter.com,5,dynamic.x.com.cdn.cloudflare.net,rotation-2026-02-25
api.x.com,1,162.159.140.229,rotation-2026-02-25
api.x.com,1,172.66.0.227,rotation-2026-02-25
api.x.com,5,dynamic.x.com.cdn.cloudflare.net,rotation-2026-02-25
api2.amplitude.com,1,100.22.109.31,rotation-2026-02-25
api2.amplitude.com,1,100.23.234.94,rotation-2026-02-25
api2.amplitude.com,1,184.32.13.238,rotation-2026-02-25
api2.amplitude.com,1,184.32.133.183,rotation-2026-02-25
api2.amplitude.com,1,34.208.54.237,rotation-2026-02-25
api2.amplitude.com,1,35.163.181.212,rotation-2026-02-25
api2.amplitude.com,1,35.167.112.106,rotation-2026-02-25
api2.amplitude.com,1,35.83.182.186,rotation-2026-02-25
api2.amplitude.com,1,35.86.43.215,rotation-2026-02-25
api2.amplitude.com,1,44.224.155.236,rotation-2026-02-25
api2.amplitude.com,1,44.227.117.22,rotation-2026-02-25
api2.amplitude.com,1,44.228.174.1,rotation-2026-02-25
api2.amplitude.com,1,44.229.116.205,rotation-2026-02-25
api2.amplitude.com,1,44.240.86.51,rotation-2026-02-25
api2.amplitude.com,1,44.253.219.141,rotation-2026-02-25
api2.amplitude.com,1,44.253.46.223,rotation-2026-02-25
api2.amplitude.com,1,44.254.237.83,rotation-2026-02-25
api2.amplitude.com,1,52.12.102.53,rotation-2026-02-25
api2.amplitude.com,1,52.24.170.234,rotation-2026-02-25
api2.amplitude.com,1,52.26.68.36,rotation-2026-02-25
api2.amplitude.com,1,52.33.207.146,rotation-2026-02-25
api2.amplitude.com,1,52.34.114.210,rotation-2026-02-25
api2.amplitude.com,1,52.38.5.115,rotation-2026-02-25
api2.amplitude.com,1,52.42.121.195,rotation-2026-02-25
api2.amplitude.com,1,52.89.66.27,rotation-2026-02-25
api2.amplitude.com,1,54.185.98.175,rotation-2026-02-25
api2.amplitude.com,1,54.190.54.207,rotation-2026-02-25
api2.amplitude.com,1,54.212.51.15,rotation-2026-02-25
api2.amplitude.com,1,54.214.13.240,rotation-2026-02-25
api2.amplitude.com,1,54.218.169.19,rotation-2026-02-25
api2.amplitude.com,1,54.68.31.161,rotation-2026-02-25
apid.pcloud.tw,1,35.201.113.102,rotation-2026-02-25
apih.pcloud.tw,1,130.211.17.193,rotation-2026-02-25
apikeys.civiccomputing.com,1,104.20.44.120,rotation-2026-02-25
apikeys.civiccomputing.com,1,172.66.163.83,rotation-2026-02-25
apikeys.civiccomputing.com,5,apikeys.civiccomputing.com.cdn.cloudflare.net,rotation-2026-02-25
apis.google.com,1,142.250.196.206,rotation-2026-02-13; rotation-2026-02-25
apis.google.com,1,142.250.198.78,rotation-1
apis.google.com,1,142.250.204.46,rotation-1; rotation-2026-02-25
apis.google.com,1,142.250.66.78,rotation-2026-02-22-chrome
apis.google.com,1,142.250.77.14,rotation-2026-02-25
apis.google.com,5,plus.l.google.com,rotation-1; rotation-2026-02-13; rotation-2026-02-22-chrome; rotation-2026-02-25
apm-pchome-jqfl4w7rqa-de.a.run.app,1,34.143.72.2,rotation-2026-02-25
apm-pchome-jqfl4w7rqa-de.a.run.app,1,34.143.73.2,rotation-2026-02-25
apm-pchome-jqfl4w7rqa-de.a.run.app,1,34.143.74.2,rotation-2026-02-25
apm-pchome-jqfl4w7rqa-de.a.run.app,1,34.143.75.2,rotation-2026-02-25
apm-pchome-jqfl4w7rqa-de.a.run.app,1,34.143.76.2,rotation-2026-02-25
apm-pchome-jqfl4w7rqa-de.a.run.app,1,34.143.77.2,rotation-2026-02-25
apm-pchome-jqfl4w7rqa-de.a.run.app,1,34.143.78.2,rotation-2026-02-25
apm-pchome-jqfl4w7rqa-de.a.run.app,1,34.143.79.2,rotation-2026-02-25
appsforoffice.microsoft.com,1,13.107.213.73,rotation-2026-02-25
appsforoffice.microsoft.com,1,13.107.246.73,rotation-2026-02-25
appsforoffice.microsoft.com,5,m365cdn-sdp-public.azurefd.net,rotation-2026-02-25
appsforoffice.microsoft.com,5,mr-azurefd.tm-azurefd.net,rotation-2026-02-25
appsforoffice.microsoft.com,5,part-0045.t-0009.t-msedge.net,rotation-2026-02-25
appsforoffice.microsoft.com,5,shed.dual-low.part-0045.t-0009.t-msedge.net,rotation-2026-02-25
appsgrowthpromo-pa.clients6.google.com,1,142.250.196.202,rotation-1; rotation-2026-02-13
appsgrowthpromo-pa.clients6.google.com,1,142.250.204.42,rotation-1; rotation-2026-02-13
appsgrowthpromo-pa.clients6.google.com,1,64.233.170.95,rotation-2026-02-13
arc.msn.com,1,40.74.78.229,rotation-2026-02-25
arc.msn.com,5,arc.trafficmanager.net,rotation-2026-02-25
arc.msn.com,5,iris-de-prod-azsc-v2-jpw.japanwest.cloudapp.azure.com,rotation-2026-02-25
asia.creativecdn.com,1,103.132.192.30,rotation-2026-02-25
aspen-dev1.eccouncil.org,1,104.18.8.180,rotation-2026-02-13
aspen-dev1.eccouncil.org,1,104.18.9.180,rotation-2026-02-13
aspen.eccouncil.org,1,104.18.8.180,rotation-2026-02-13
aspen.eccouncil.org,1,104.18.9.180,rotation-2026-02-13
assets.msn.cn,1,175.97.131.54,rotation-1
assets.msn.cn,5,assets-msn-cn-world-atm-default.trafficmanager.net,rotation-1
assets.msn.cn,5,assets.msn.cn.eo.dnse4.com,rotation-1
assets.msn.com,,210.71.227.104,rotation-0; rotation-1
assets.msn.com,,210.71.227.113,rotation-0; rotation-1
assets.msn.com,,210.71.227.120,rotation-0; rotation-1
assets.msn.com,,210.71.227.122,rotation-0; rotation-1
assets.msn.com,,210.71.227.138,rotation-0; rotation-1
assets.msn.com,,210.71.227.139,rotation-0; rotation-1
assets.msn.com,,210.71.227.153,rotation-0; rotation-1
assets.msn.com,,210.71.227.155,rotation-0; rotation-1
assets.msn.com,,210.71.227.160,rotation-0; rotation-1
assets.msn.com,,210.71.227.176,rotation-0; rotation-1
assets.msn.com,,210.71.227.178,rotation-0; rotation-1
assets.msn.com,,210.71.227.184,rotation-0; rotation-1
assets.msn.com,,210.71.227.185,rotation-0; rotation-1
assets.msn.com,,210.71.227.96,rotation-0; rotation-1
assets.msn.com,,210.71.227.98,rotation-0; rotation-1
assets.msn.com,,210.71.227.99,rotation-0; rotation-1
assets.msn.com,,a1666.dscr.akamai.net,rotation-0
assets.msn.com,,assets-msn-com-world-atm-default.trafficmanager.net,rotation-0
assets.msn.com,,assets.msn.com-ion.edgesuite.net,rotation-0
assets.msn.com,1,203.69.138.224,rotation-1
assets.msn.com,1,203.69.138.230,rotation-1
assets.msn.com,1,210.71.227.113,rotation-2026-02-22-chrome
assets.msn.com,1,210.71.227.139,rotation-2026-02-22-chrome
assets.msn.com,1,210.71.227.153,rotation-2026-02-22-chrome
assets.msn.com,1,210.71.227.176,rotation-2026-02-22-chrome
assets.msn.com,1,210.71.227.184,rotation-2026-02-22-chrome
assets.msn.com,1,210.71.227.96,rotation-2026-02-22-chrome
assets.msn.com,5,a1666.dscr.akamai.net,rotation-1; rotation-2026-02-22-chrome
assets.msn.com,5,assets-msn-com-world-atm-default.trafficmanager.net,rotation-1; rotation-2026-02-22-chrome
assets.msn.com,5,assets.msn.com-ion.edgesuite.net,rotation-1; rotation-2026-02-22-chrome
assets.pchome.com.tw,1,34.111.40.219,rotation-2026-02-25
assets2.msn.com,1,203.69.138.230,rotation-1
assets2.msn.com,1,210.71.227.115,rotation-2026-02-22-chrome
assets2.msn.com,1,210.71.227.163,rotation-2026-02-22-chrome
assets2.msn.com,5,a1686.dscr.akamai.net,rotation-1; rotation-2026-02-22-chrome
assets2.msn.com,5,assets2-msn-com-world-atm-default.trafficmanager.net,rotation-1; rotation-2026-02-22-chrome
assets2.msn.com,5,assets2.msn.com-ion.edgesuite.net,rotation-1; rotation-2026-02-22-chrome
attio.com,1,104.20.30.68,rotation-2026-02-25
attio.com,1,172.66.165.206,rotation-2026-02-25
auth.trusted-introducer.org,1,193.175.83.138,rotation-2026-02-22-chrome
avatar.iran.liara.run,1,185.208.182.248,rotation-1
avatar.iran.liara.run,1,185.208.182.249,rotation-1
avatar.iran.liara.run,1,185.208.182.250,rotation-1
avatar.iran.liara.run,5,to.liara.zone,rotation-1
avatar.vercel.sh,1,66.33.60.194,rotation-1
avatar.vercel.sh,1,76.76.21.98,rotation-1
avatars.githubusercontent.com,,185.199.108.133,rotation-0
avatars.githubusercontent.com,,185.199.109.133,rotation-0
avatars.githubusercontent.com,,185.199.110.133,rotation-0
avatars.githubusercontent.com,,185.199.111.133,rotation-0
avatars.githubusercontent.com,1,185.199.108.133,rotation-1; rotation-2026-02-13; rotation-2026-02-22-chrome; rotation-2026-02-25; rotation-2026-03-08-claude
avatars.githubusercontent.com,1,185.199.109.133,rotation-1; rotation-2026-02-13; rotation-2026-02-22-chrome; rotation-2026-02-25; rotation-2026-03-08-claude
avatars.githubusercontent.com,1,185.199.110.133,rotation-1; rotation-2026-02-13; rotation-2026-02-22-chrome; rotation-2026-02-25; rotation-2026-03-08-claude
avatars.githubusercontent.com,1,185.199.111.133,rotation-1; rotation-2026-02-13; rotation-2026-02-22-chrome; rotation-2026-02-25; rotation-2026-03-08-claude
b.stripecdn.com,1,151.101.0.176,rotation-2026-02-25
b.stripecdn.com,1,151.101.128.176,rotation-2026-02-25
b.stripecdn.com,1,151.101.192.176,rotation-2026-02-25
b.stripecdn.com,1,151.101.64.176,rotation-2026-02-25
b.stripecdn.com,5,prod-b-tree.stripecdn.com,rotation-2026-02-25
b.stripecdn.com,5,stripecdn.map.fastly.net,rotation-2026-02-25
b1t-sindc1.outbrain.com,,23.108.101.160,rotation-0; rotation-1
b1t-sindc1.outbrain.com,,23.108.101.161,rotation-0; rotation-1
b1t-sindc1.outbrain.com,,23.108.101.162,rotation-0; rotation-1
b1t-sindc1.outbrain.com,,23.108.101.163,rotation-0; rotation-1
b1t-sindc1.outbrain.com,,b1-sindc1.zemanta.com,rotation-0; rotation-1
bam.nr-data.net,1,162.247.241.14,rotation-2026-02-22-chrome
bam.nr-data.net,1,162.247.243.29,rotation-2026-02-13; rotation-2026-02-22-chrome
bam.nr-data.net,5,bam.cell.nr-data.net,rotation-2026-02-13; rotation-2026-02-22-chrome
bam.nr-data.net,5,bam.nr-data.net.cdn.cloudflare.net,rotation-2026-02-22-chrome
bam.nr-data.net,5,fastly-tls12-bam.nr-data.net,rotation-2026-02-13; rotation-2026-02-22-chrome
bat.bing.com,1,150.171.27.10,rotation-2026-02-25
bat.bing.com,1,150.171.28.10,rotation-2026-02-25
bat.bing.com,5,ax-0001.ax-msedge.net,rotation-2026-02-25
bat.bing.com,5,bat-bing-com.ax-0001.ax-msedge.net,rotation-2026-02-25
bc.vitalsource.com,1,104.19.189.84,rotation-2026-02-13
bc.vitalsource.com,1,104.19.190.84,rotation-2026-02-13
blog.104.com.tw,1,104.18.8.226,rotation-2026-02-25
blog.104.com.tw,1,104.18.9.226,rotation-2026-02-25
bookshelf.vitalsource.com,1,104.19.189.84,rotation-2026-02-13
bookshelf.vitalsource.com,1,104.19.190.84,rotation-2026-02-13
browser.events.data.msn.com,,20.42.65.84,rotation-0; rotation-1
browser.events.data.msn.com,,20.42.72.131,rotation-0; rotation-1
browser.events.data.msn.com,,40.79.197.34,rotation-0; rotation-1
browser.events.data.msn.com,,global.asimov.events.data.trafficmanager.net,rotation-0
browser.events.data.msn.com,,onedscolprdeus00.eastus.cloudapp.azure.com,rotation-0; rotation-1
browser.events.data.msn.com,,onedscolprdeus02.eastus.cloudapp.azure.com,rotation-0; rotation-1
browser.events.data.msn.com,,onedscolprdjpe01.japaneast.cloudapp.azure.com,rotation-0; rotation-1
browser.events.data.msn.com,1,51.116.246.104,rotation-1
browser.events.data.msn.com,1,52.168.117.170,rotation-2026-02-22-chrome
browser.events.data.msn.com,1,52.178.17.234,rotation-2026-02-22-chrome
browser.events.data.msn.com,5,global.asimov.events.data.trafficmanager.net,rotation-1; rotation-2026-02-22-chrome
browser.events.data.msn.com,5,onedscolprdeus13.eastus.cloudapp.azure.com,rotation-2026-02-22-chrome
browser.events.data.msn.com,5,onedscolprdgwc00.germanywestcentral.cloudapp.azure.com,rotation-1
browser.events.data.msn.com,5,onedscolprdweu11.westeurope.cloudapp.azure.com,rotation-2026-02-22-chrome
business.yingliangads.com,1,52.220.33.47,rotation-2026-02-25
c.bing.com,,150.171.27.10,rotation-0
c.bing.com,,150.171.28.10,rotation-0
c.bing.com,,ax-0001.ax-msedge.net,rotation-0
c.bing.com,,c-bing-com.ax-0001.ax-msedge.net,rotation-0
c.bing.com,1,150.171.27.10,rotation-1; rotation-2026-02-22-chrome
c.bing.com,1,150.171.28.10,rotation-1; rotation-2026-02-22-chrome
