Entry,RecordType,Data,TimeToLive
data.bilibili.com,1,103.151.151.131,32
data.bilibili.com,1,103.151.151.130,32
default.exp-tas.com,5,deault-exp-tas-com.e-0014.e-msedge.net,113
default.exp-tas.com,5,e-0014.e-dc-msedge.net,68
default.exp-tas.com,1,13.107.13.93,68
default.exp-tas.com,5,e-0014.e-msedge.net,113
default.exp-tas.com,1,13.107.5.93,113
developers.redhat.com,5,developers.redhat.com2.edgekey.net,13
developers.redhat.com,5,developers.redhat.com2.edgekey.net.globalredir.akadns.net,13
developers.redhat.com,5,e259367.dsca.akamaiedge.net,13
developers.redhat.com,1,203.69.138.9,13
developers.redhat.com,1,203.69.138.33,13
discord.com,1,162.159.128.233,17
discord.com,1,162.159.137.232,17
discord.com,1,162.159.138.232,17
discord.com,1,162.159.135.232,17
discord.com,1,162.159.136.232,17
displaycatalog.mp.microsoft.com,,consumer-prod-bcfd-v7-afd.trafficmanager.net,39
displaycatalog.mp.microsoft.com,,seass2c-displaycatalog.frontdoor.bigcatalog.commerce.microsoft.com,39
displaycatalog.mp.microsoft.com,,57.155.161.95,39
docs.google.com,1,142.250.196.206,186
drive.google.com,1,142.250.66.78,150
drive.google.com,1,142.250.198.78,182
drivefrontend-pa.clients6.google.com,1,142.250.204.42,4
ecn.dev.virtualearth.net,5,t.ssl.ak.tiles.virtualearth.net.akamaized.net,8
ecn.dev.virtualearth.net,5,a505.dscg2.akamai.net,8
ecn.dev.virtualearth.net,1,203.69.81.43,8
ecn.dev.virtualearth.net,1,203.69.81.42,8
edge-cloud-resource-static.azureedge.net,5,edge-cloud-resource-static.afd.azureedge.net,2
edge-cloud-resource-static.azureedge.net,1,13.107.213.73,2
edge-cloud-resource-static.azureedge.net,,13.107.246.46,24
edge-cloud-resource-static.azureedge.net,,part-0018.t-0009.t-msedge.net,24
edge-cloud-resource-static.azureedge.net,5,part-0045.t-0009.t-msedge.net,2
edge-cloud-resource-static.azureedge.net,5,shed.dual-low.part-0045.t-0009.t-msedge.net,2
edge-cloud-resource-static.azureedge.net,1,13.107.246.73,2
edge-cloud-resource-static.azureedge.net,5,mr-afd-azuredge.tm-azurefd.net,2
edge-cloud-resource-static.azureedge.net,,shed.dual-low.part-0018.t-0009.t-msedge.net,24
edge-cloud-resource-static.azureedge.net,,13.107.213.46,24
edge-consumer-static.azureedge.net,5,edge-consumer-static.afd.azureedge.net,26
edge-consumer-static.azureedge.net,5,mr-afd-azuredge.tm-azurefd.net,26
edge-consumer-static.azureedge.net,5,shed.dual-low.part-0045.t-0009.t-msedge.net,26
edge-consumer-static.azureedge.net,5,part-0045.t-0009.t-msedge.net,26
edge-consumer-static.azureedge.net,1,13.107.246.73,26
edge-consumer-static.azureedge.net,1,13.107.213.73,26
edge.microsoft.com,1,150.171.28.11,10
edge.microsoft.com,5,edge-microsoft-com.ax-0002.ax-msedge.net,10
edge.microsoft.com,5,ax-0002.ax-msedge.net,10
edge.microsoft.com,1,150.171.27.11,10
ep1.adtrafficquality.google,1,142.250.198.66,75
ep2.adtrafficquality.google,,142.250.204.33,144
ep2.adtrafficquality.google,1,142.250.198.65,7
espresso-pa.clients6.google.com,1,142.250.66.74,125
events-sandbox.data.msn.com,5,pipe.int.trafficmanager.net,4
events-sandbox.data.msn.com,5,onedscolinteu200.eastus2.cloudapp.azure.com,4
events-sandbox.data.msn.com,1,52.167.109.66,4
feedback-pa.clients6.google.com,,142.250.198.74,49
feedback-pa.clients6.google.com,1,142.250.196.202,1
feedback-pa.clients6.google.com,1,142.250.204.42,101
fonts.googleapis.com,1,173.194.174.95,1
fonts.googleapis.com,1,74.125.203.95,57
fonts.googleapis.com,1,64.233.189.95,109
fonts.googleapis.com,1,108.177.125.95,31
fonts.gstatic.com,1,142.250.204.35,102
fonts.gstatic.com,1,142.250.196.195,50
fonts.gstatic.com,1,142.250.198.67,117
fs.microsoft.com,5,prod.fs.microsoft.com.akadns.net,14
fs.microsoft.com,5,fs-wildcard.microsoft.com.edgekey.net.globalredir.akadns.net,14
fs.microsoft.com,1,118.214.252.115,14
fs.microsoft.com,5,e16604.dscf.akamaiedge.net,14
fs.microsoft.com,5,fs-wildcard.microsoft.com.edgekey.net,14
gateway-us-east1-c.discord.gg,1,162.159.130.234,6
gateway-us-east1-c.discord.gg,1,162.159.135.234,6
